0,1,2,i,cluster
58.28269332321967,-14.542528248222808,-10.321266613143568,0,0
51.74361934885683,-10.269910156931145,-11.90367767669736,1,0
35.80445555496802,-28.84073566081148,-9.509849972327794,2,0
-1.2479231498524888,-39.27302628364664,-1.6303912230875073,3,0
32.07312037321091,-25.74544626405879,-3.286522099992049,4,0
69.34598676390337,-10.511448274087014,-29.338222094052625,5,0
68.83006746087597,-9.209633569352452,-29.353287211147247,6,0
44.52335548993044,-19.992782494779767,-18.060653425171115,7,0
65.52641249366549,10.93238173216231,-31.640084738819585,8,0
37.30119402078648,-9.125904666677064,-20.706849799911865,9,0
67.21433394408501,-8.437967677462892,-31.33115930855353,10,0
56.37430459852885,-13.00190404440252,-14.132723074460165,11,0
65.24638140305241,10.407320522788469,-41.56399367207366,12,0
70.22026807427719,-11.646797951045292,-22.736774497985916,13,0
28.468235936000006,-25.52400814874353,-38.93959377964429,14,0
54.3267563219557,-11.094520821676484,-23.08886118857272,15,0
54.957547947415065,-4.073322208709314,-10.228179644352188,16,0
56.70705327327791,-23.98641125403196,-12.50588517573601,17,0
55.966463631534445,-6.115872879937933,-10.37665968547218,18,0
53.050021697670005,-23.449036498209857,-17.693083165056073,19,0
42.81221993133445,-21.16502120188343,-4.785024374463512,20,0
23.03185641941473,-11.74333896604228,-30.31650438579475,21,0
35.59064328279837,10.092427037162045,-14.032886935239464,22,0
63.26957049952209,-3.258693287587141,-28.875607542964712,23,0
70.64025733821981,19.086893329974554,-46.41109615891748,24,0
36.04357857103562,-25.58332148287703,-20.14293631025121,25,0
73.6306689082853,-9.375929808590213,-20.391089900958093,26,0
76.35500173840605,20.375467501357644,-35.84562936381162,27,0
77.8471597389857,7.359216346068545,-26.76973921038855,28,0
49.89691213925002,-24.17351508780899,-5.812893866052694,29,0
80.3278068362552,16.396166235927335,-38.53673640271904,30,0
40.8108581043828,-0.7467819151647535,-23.16916466501693,31,0
-2.26828545578094,-14.344430897341812,-17.698518056337015,32,0
49.57106574399989,-29.54859514690428,-22.89438326514141,33,0
45.70488143051456,-20.269938024039515,-19.03945033270968,34,0
39.40003279129847,-17.812886464918524,-15.932650254378377,35,0
48.871754048293376,-21.17727862384572,-15.778490896153397,36,0
60.49451841037801,-24.290898392684817,-23.465790757028778,37,0
72.56710787791054,-2.2510729774032328,-22.87952029904713,38,0
31.98220214028733,-23.978892818489378,-13.863942041602373,39,0
20.090466694190024,-39.25671073050548,6.41135106712616,40,0
33.23990153094877,-19.74887341125368,-0.7298699189933154,41,0
32.73235594794609,-23.42890000614999,-10.979684463758469,42,0
68.21876890673316,-14.49242340108732,-25.712443759599854,43,0
45.25443868320742,-21.131806533654835,-0.614795210983939,44,0
44.32405651126597,-4.387184865211966,30.18903931932668,45,2
52.96548801813172,7.003804685181089,24.851517742346587,46,2
55.46678976367824,-4.048634687601584,0.0964216172907588,47,0
45.30453661729389,-26.9459978999678,-1.1964410695867542,48,0
35.81820526427373,-7.415717201347137,32.77122361316175,49,2
62.768060382857406,0.2846487050808045,12.068347399799867,50,2
34.71785809824841,-6.889708318005432,39.82424505317668,51,2
12.95907784090624,-32.97970487571304,46.35691614113577,52,2
4.144540337081631,-46.41847261469539,45.32045101008245,53,2
40.70105916057757,-27.927098932089788,-10.00563726367466,54,0
58.01170536734691,-2.8996977418244088,-12.445526103691837,55,0
64.02218494038819,-14.44241416328049,-31.275144285131915,56,0
15.208679927510545,-37.6718306678839,-6.853404879046334,57,0
37.61147285952651,-18.25960076379879,2.254588941395363,58,0
24.452005761938857,-22.288846404947652,-2.915376676484177,59,0
31.36333475314735,-28.99114356256303,-1.2096416502522125,60,0
6.842658350789962,-55.5964341083619,15.799663327686398,61,0
27.74423114823761,-46.75664131579011,11.06314034234468,62,0
31.794763964481515,-44.08813378989477,-0.839977531531643,63,0
16.2645948185765,-48.48466967174789,-3.423644578329752,64,0
23.237883375496544,-36.868287916410125,9.799014486955407,65,0
-1.4850962480716965,-32.76570292713642,10.857952076953524,66,0
31.79670535245233,-1.8738582700302204,-4.12082328925305,67,0
29.758302082777828,-13.543408073419789,0.4908885186980491,68,0
40.0857877307169,-14.215057836937282,1.172108565066046,69,0
45.75068445535383,-6.4156827023657765,-9.234068054601558,70,0
16.80808301700235,-35.58649418237058,-9.690741284554628,71,0
11.853929863775974,-9.61606334035442,-26.41737315474854,72,0
25.32739149614701,-19.04302367428241,-36.14107579550616,73,0
86.16863314773009,14.698065707504108,-33.44011248739893,74,1
94.74170698849504,22.01200875826738,-50.42815629338646,75,1
50.41572028015728,-9.982686955431912,-27.39972590960063,76,0
90.03462183515182,3.7903747168215567,-39.01033294288461,77,1
106.54668413623742,30.870744773207186,-41.633707221137286,78,1
85.78233580916827,19.57544474647981,-39.143957848607535,79,1
90.52814355109012,30.092320545629736,-37.70130503022611,80,1
62.6222910698212,1.012725660497626,-33.33379440843451,81,1
88.34790317894263,16.979419274477706,-43.67276624334382,82,1
85.11612882452602,7.626495342738869,-47.57414838472126,83,1
80.98771058453696,17.80454998201837,-46.50777417903197,84,1
90.70515234244384,14.070996017945436,-41.69426963198661,85,1
77.28409289481355,11.366883815233551,-28.558535976634538,86,1
58.228810558854654,-7.936913643331631,-22.361763560680203,87,1
59.64826290490903,2.190152967495763,-25.413606063072887,88,1
